epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.849,1.88094,2.93877,1.27478,1.41322,0.31155,0.36329,0.27601,0.11812,0.29923,0.35093,0.25534,0.09232,1.80918,2.85433,1.32298,1.45639,0.0802186,0.000199812,0.000199812
2,974.312,1.74826,2.72352,1.10128,1.34953,0.39514,0.39283,0.34654,0.15995,0.3935,0.36893,0.32682,0.12808,1.71916,2.62943,1.02966,1.3649,0.0604072,0.00038839,0.00038839
3,1451.35,1.70984,2.66166,1.0626,1.326,0.45142,0.41824,0.38885,0.1696,0.43678,0.40709,0.37176,0.14056,1.73022,2.44134,1.09713,1.37362,0.0405843,0.000565541,0.000565541
4,1927.93,1.6806,2.61135,1.02725,1.30663,0.47036,0.47651,0.4559,0.20242,0.44849,0.4622,0.43492,0.16295,1.71255,2.42159,1.00124,1.33826,0.02075,0.000731264,0.000731264
5,2406.49,1.64378,2.54979,0.9978,1.27774,0.46079,0.45319,0.43065,0.19478,0.52502,0.4133,0.41001,0.15717,1.69964,2.38532,1.05357,1.31642,0.000904321,0.00088556,0.00088556
6,2885.11,1.6252,2.53153,0.96631,1.25791,0.50607,0.48185,0.47192,0.2176,0.48093,0.47044,0.43337,0.16035,1.62069,2.42877,0.93193,1.25107,0.000857157,0.000857157,0.000857157
7,3366.41,1.60425,2.49822,0.93998,1.25005,0.54037,0.50009,0.50585,0.23263,0.6114,0.44039,0.47796,0.19374,1.6092,2.3635,0.90389,1.25492,0.000828589,0.000828589,0.000828589
8,3847.99,1.57887,2.46948,0.92306,1.23988,0.5494,0.49771,0.51425,0.24951,0.53477,0.48532,0.50121,0.20598,1.56498,2.29924,0.8885,1.25674,0.00080002,0.00080002,0.00080002
9,4322.39,1.56724,2.42702,0.90165,1.22469,0.56085,0.51454,0.53297,0.25611,0.55709,0.47262,0.49501,0.19176,1.59369,2.31161,0.85684,1.25011,0.000771451,0.000771451,0.000771451
10,4798.68,1.55023,2.41736,0.88852,1.20864,0.52695,0.53546,0.51998,0.25639,0.55828,0.50859,0.51215,0.20987,1.58314,2.27135,0.85251,1.25076,0.000742883,0.000742883,0.000742883
11,5280.73,1.53786,2.40178,0.87527,1.2079,0.54611,0.52986,0.54597,0.26507,0.52039,0.5143,0.51501,0.21382,1.5575,2.2564,0.83299,1.22822,0.000714314,0.000714314,0.000714314
12,5761.68,1.5218,2.38166,0.85753,1.19651,0.55394,0.53306,0.5663,0.2826,0.54891,0.5265,0.54542,0.22442,1.52575,2.28872,0.82308,1.21855,0.000685746,0.000685746,0.000685746
13,6232.26,1.51717,2.37675,0.84703,1.19209,0.57584,0.55098,0.58434,0.29913,0.54801,0.52225,0.5496,0.23315,1.50325,2.21799,0.81725,1.20021,0.000657177,0.000657177,0.000657177
14,6711.23,1.50148,2.34515,0.84351,1.18047,0.60114,0.57539,0.58838,0.29445,0.53544,0.55594,0.54023,0.22549,1.51345,2.20507,0.80171,1.20066,0.000628609,0.000628609,0.000628609
15,7183.82,1.48266,2.32393,0.81651,1.16989,0.59108,0.57383,0.6015,0.30967,0.57923,0.53062,0.55476,0.2399,1.50043,2.18691,0.77758,1.18521,0.00060004,0.00060004,0.00060004
16,7656.54,1.49225,2.29518,0.81648,1.17323,0.59316,0.56573,0.59493,0.29332,0.56015,0.53055,0.54234,0.21887,1.51093,2.20336,0.79413,1.19551,0.000571471,0.000571471,0.000571471
17,8127.11,1.48071,2.28828,0.80807,1.17143,0.58202,0.52099,0.56686,0.2809,0.58725,0.50139,0.54786,0.22136,1.56103,2.24436,0.83378,1.2293,0.000542903,0.000542903,0.000542903
18,8599.58,1.47249,2.26423,0.79714,1.15769,0.56779,0.58719,0.59995,0.3066,0.55905,0.57606,0.58494,0.24982,1.51688,2.1663,0.76823,1.19382,0.000514334,0.000514334,0.000514334
19,9078.33,1.45759,2.24218,0.79216,1.15353,0.61605,0.55858,0.60622,0.3152,0.60232,0.52773,0.57016,0.24679,1.46123,2.14216,0.75975,1.17369,0.000485766,0.000485766,0.000485766
